;Invoice ID;Branch;City;Costumer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
0;750-67-8428;A;Porto Alegre;Normal;Masculino;Casa e estilo de vida;151,38;8;7,57;1218,61;02/02/2023;13:08;dinheiro;1211,04;0,00;1211,04;7,6
1;226-31-3081;C;Florianopolis;Membro;Masculino;Saúde e beleza;200,02;9;10,00;1810,18;06/19/2023;10:29;dinheiro;1800,18;0,00;1800,18;10,0
2;631-41-3108;A;Curitiba;Normal;Feminino;Casa e estilo de vida;664,47;5;33,22;3355,57;10/15/2023;13:23;cartão de crédito;3322,35;0,00;3322,35;8,5
3;123-19-1176;A;Curitiba;Normal;Masculino;Acessórios eletrônicos;165,25;9;8,26;1495,51;05/16/2023;20:33;pix;1487,25;0,00;1487,25;7,1
4;373-73-7910;A;Porto Alegre;Membro;Masculino;Saúde e beleza;21,34;8;1,07;171,79;08/04/2023;10:37;pix;170,72;0,00;170,72;9,7
5;699-14-3026;C;Florianopolis;Membro;Feminino;Alimentos e bebidas;822,40;5;41,12;4153,12;06/19/2023;18:30;cartão de crédito;4112,00;0,00;4112,00;5,4
6;355-53-5943;A;Curitiba;Membro;Masculino;Acessórios eletrônicos;388,54;5;19,43;1962,13;05/27/2023;14:36;dinheiro;1942,70;0,00;1942,70;6,1
7;315-22-5665;C;Florianopolis;Normal;Masculino;Casa e estilo de vida;313,70;6;15,69;1897,89;06/26/2023;11:38;dinheiro;1882,20;0,00;1882,20;5,2
8;665-32-9167;A;Porto Alegre;Membro;Masculino;Saúde e beleza;943,20;4;47,16;3819,96;06/28/2023;17:15;pix;3772,80;0,00;3772,80;9,7
9;692-92-5582;B;Porto Alegre;Normal;Feminino;Saúde e beleza;934,76;4;46,74;3785,78;09/09/2023;13:27;dinheiro;3739,04;0,00;3739,04;8,7
10;351-62-0822;B;Porto Alegre;Membro;Feminino;Acessórios eletrônicos;809,65;2;40,48;1659,78;04/10/2023;18:07;cartão de crédito;1619,30;0,00;1619,30;9,4
11;529-56-3974;B;Florianopolis;Membro;Masculino;Saúde e beleza;652,29;10;32,61;6555,51;11/18/2023;17:03;dinheiro;6522,90;0,00;6522,90;9,8
12;365-64-0515;A;Curitiba;Membro;Masculino;Saúde e beleza;81,91;1;4,10;86,01;02/21/2023;10:25;pix;81,91;0,00;81,91;6,5
13;252-56-2699;A;Florianopolis;Membro;Masculino;Casa e estilo de vida;351,27;3;17,56;1071,37;08/12/2023;16:48;cartão de crédito;1053,81;0,00;1053,81;9,5
14;829-34-3910;A;Porto Alegre;Normal;Feminino;Alimentos e bebidas;45,00;2;2,25;92,25;09/18/2023;19:21;dinheiro;90,00;0,00;90,00;8,8
15;299-46-1805;B;Porto Alegre;Normal;Feminino;Acessórios eletrônicos;418,30;4;20,92;1694,12;07/07/2023;16:19;cartão de crédito;1673,20;0,00;1673,20;7,7
16;656-95-9349;A;Florianopolis;Normal;Masculino;Acessórios eletrônicos;642,88;8;32,14;5175,18;07/03/2023;11:03;cartão de crédito;5143,04;0,00;5143,04;9,8
17;765-26-6951;A;Porto Alegre;Normal;Masculino;Casa e estilo de vida;351,25;4;17,56;1422,56;09/11/2023;10:39;pix;1405,00;0,00;1405,00;5,6
18;329-62-1586;A;Curitiba;Normal;Masculino;Casa e estilo de vida;797,07;1;39,85;836,92;07/11/2023;18:00;dinheiro;797,07;0,00;797,07;5,9
19;319-50-3348;B;Porto Alegre;Normal;Feminino;Saúde e beleza;506,00;7;25,30;3567,30;10/06/2023;15:30;pix;3542,00;0,00;3542,00;7,0
20;300-71-4605;C;Curitiba;Membro;Masculino;Saúde e beleza;198,76;6;9,94;1202,50;06/07/2023;11:24;dinheiro;1192,56;0,00;1192,56;8,5
21;371-85-5789;B;Curitiba;Membro;Feminino;Acessórios eletrônicos;452,09;2;22,60;926,78;10/23/2023;10:40;dinheiro;904,18;0,00;904,18;9,9
22;273-16-6619;B;Florianopolis;Normal;Masculino;Acessórios eletrônicos;240,15;9;12,01;2173,36;01/31/2023;12:20;dinheiro;2161,35;0,00;2161,35;5,2
23;636-48-8204;A;Curitiba;Normal;Masculino;Casa e estilo de vida;94,13;9;4,71;851,88;01/16/2023;11:15;dinheiro;847,17;0,00;847,17;6,1
24;549-59-1358;A;Curitiba;Normal;Feminino;Acessórios eletrônicos;508,58;5;25,43;2568,33;01/14/2023;17:36;cartão de crédito;2542,90;0,00;2542,90;6,0
25;227-03-5010;A;Curitiba;Membro;Masculino;Acessórios eletrônicos;974,50;10;48,73;9793,73;03/18/2023;19:20;cartão de crédito;9745,00;0,00;9745,00;5,5
26;649-29-6775;B;Curitiba;Normal;Masculino;Casa e estilo de vida;898,72;2;44,94;1842,38;05/30/2023;15:31;dinheiro;1797,44;0,00;1797,44;7,7
27;189-17-4241;A;Porto Alegre;Normal;Masculino;Casa e estilo de vida;767,33;4;38,37;3107,69;05/31/2023;12:17;pix;3069,32;0,00;3069,32;5,8
28;145-94-9061;B;Curitiba;Membro;Feminino;Esportes e viagens;235,04;6;11,75;1421,99;05/20/2023;19:48;dinheiro;1410,24;0,00;1410,24;6,4
29;848-62-7243;A;Porto Alegre;Membro;Feminino;Acessórios eletrônicos;216,10;9;10,80;1955,70;12/19/2023;15:36;pix;1944,90;0,00;1944,90;7,4
30;871-79-8483;B;Porto Alegre;Membro;Feminino;Acessórios eletrônicos;808,94;7;40,45;5703,03;02/17/2023;19:39;pix;5662,58;0,00;5662,58;6,5
31;149-71-6266;B;Porto Alegre;Membro;Masculino;Saúde e beleza;362,95;10;18,15;3647,65;09/29/2023;12:43;dinheiro;3629,50;0,00;3629,50;5,2
32;640-49-2076;B;Curitiba;Normal;Feminino;Acessórios eletrônicos;458,65;8;22,93;3692,13;03/04/2023;14:49;dinheiro;3669,20;0,00;3669,20;9,4
33;595-11-5460;A;Florianopolis;Membro;Masculino;Alimentos e bebidas;239,57;10;11,98;2407,68;06/16/2023;10:12;pix;2395,70;0,00;2395,70;7,3
34;183-56-6882;C;Curitiba;Membro;Feminino;Saúde e beleza;503,60;7;25,18;3550,38;03/29/2023;10:42;dinheiro;3525,20;0,00;3525,20;5,9
35;232-16-2483;C;Porto Alegre;Membro;Feminino;Saúde e beleza;786,63;2;39,33;1612,59;07/21/2023;12:28;pix;1573,26;0,00;1573,26;5,0
36;129-29-8530;A;Florianopolis;Membro;Feminino;Esportes e viagens;606,14;10;30,31;6091,71;01/25/2023;19:15;pix;6061,40;0,00;6061,40;9,2
37;272-65-1806;A;Porto Alegre;Normal;Masculino;Saúde e beleza;927,88;10;46,39;9325,19;07/04/2023;17:17;pix;9278,80;0,00;9278,80;8,4
38;333-73-7901;C;Curitiba;Normal;Masculino;Saúde e beleza;995,59;2;49,78;2040,96;08/29/2023;13:24;pix;1991,18;0,00;1991,18;6,1
39;777-82-7220;B;Porto Alegre;Normal;Masculino;Casa e estilo de vida;190,64;10;9,53;1915,93;12/13/2023;13:01;dinheiro;1906,40;0,00;1906,40;5,8
40;280-35-5823;B;Curitiba;Normal;Feminino;Saúde e beleza;350,35;10;17,52;3521,02;10/09/2023;18:45;pix;3503,50;0,00;3503,50;9,5
41;554-53-8700;C;Florianopolis;Normal;Feminino;Saúde e beleza;601,87;7;30,09;4243,18;10/16/2023;10:11;pix;4213,09;0,00;4213,09;8,3
42;354-25-5821;B;Curitiba;Membro;Feminino;Esportes e viagens;124,94;4;6,25;506,01;07/15/2023;13:03;dinheiro;499,76;0,00;499,76;7,9
43;228-96-1411;C;Curitiba;Membro;Masculino;Saúde e beleza;215,49;1;10,77;226,26;01/25/2023;20:39;pix;215,49;0,00;215,49;6,0
44;617-15-4209;C;Curitiba;Membro;Masculino;Acessórios eletrônicos;887,90;5;44,40;4483,90;06/09/2023;19:47;dinheiro;4439,50;0,00;4439,50;7,9
45;132-32-9879;B;Porto Alegre;Membro;Feminino;Casa e estilo de vida;439,67;3;21,98;1340,99;07/09/2023;18:00;cartão de crédito;1319,01;0,00;1319,01;9,4
46;370-41-7321;B;Florianopolis;Membro;Feminino;Acessórios eletrônicos;54,42;8;2,72;438,08;07/28/2023;17:24;pix;435,36;0,00;435,36;9,9
47;727-46-3608;B;Florianopolis;Membro;Feminino;Alimentos e bebidas;347,82;7;17,39;2452,13;09/30/2023;15:47;cartão de crédito;2434,74;0,00;2434,74;5,3
48;669-54-1719;B;Florianopolis;Normal;Feminino;Saúde e beleza;738,86;6;36,94;4470,10;03/22/2023;12:45;cartão de crédito;4433,16;0,00;4433,16;7,6
49;574-22-5561;C;Florianopolis;Normal;Masculino;Acessórios eletrônicos;104,76;10;5,24;1052,84;03/05/2023;17:08;cartão de crédito;1047,60;0,00;1047,60;8,2
50;326-78-5178;C;Curitiba;Membro;Masculino;Acessórios eletrônicos;847,48;6;42,37;5127,25;01/05/2023;10:19;cartão de crédito;5084,88;0,00;5084,88;9,2
51;162-48-8011;A;Porto Alegre;Membro;Feminino;Saúde e beleza;471,90;2;23,59;967,39;10/26/2023;15:10;cartão de crédito;943,80;0,00;943,80;9,8
52;616-24-2851;B;Curitiba;Membro;Masculino;Saúde e beleza;475,67;9;23,78;4304,81;03/29/2023;14:42;pix;4281,03;0,00;4281,03;7,6
53;778-71-5554;C;Curitiba;Membro;Feminino;Acessórios eletrônicos;388,56;3;19,43;1185,11;05/17/2023;15:46;pix;1165,68;0,00;1165,68;9,2
54;242-55-6721;B;Porto Alegre;Membro;Feminino;Esportes e viagens;786,91;2;39,35;1613,17;05/22/2023;11:49;dinheiro;1573,82;0,00;1573,82;6,3
55;399-46-5918;C;Porto Alegre;Membro;Feminino;Esportes e viagens;699,25;10;34,96;7027,46;07/12/2023;19:01;cartão de crédito;6992,50;0,00;6992,50;9,6
56;106-35-6779;A;Porto Alegre;Membro;Masculino;Saúde e beleza;351,08;2;17,55;719,71;09/27/2023;11:26;cartão de crédito;702,16;0,00;702,16;8,7
